report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,otel-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,valkey-cart_system-under-evaluation
report_2025-07-14_18-17-06.yaml,Base Persistence,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report_2025-07-14_18-17-06.yaml,Base Persistence,30.0,15028.0,326696.0,1298265.0,641.0,108.0,2917696.0,0.0,168603.0,6483.0,13491963.0,6912660.0,2694.0,108.0,397090.0,6794.0,14983.0,46911609.0,132.0,2836944.0,421562.0,0.0,6891431.0,0.0,410236.0
report_2025-07-14_18-17-06.yaml,Base Persistence,60.0,21734.0,650868.0,2524340.0,1588.0,324.0,5253425.0,0.0,520277.0,18925.0,26106463.0,27139928.0,5837.0,282.0,596460.0,10512.0,40467.0,90964176.0,655.0,4047826.0,1906473.0,0.0,14060659.0,0.0,1033496.0
report_2025-07-14_18-17-06.yaml,Base Persistence,90.0,37217.0,981258.0,3768114.0,2229.0,498.0,8018514.0,0.0,786195.0,31355.0,32068759.0,32925462.0,8531.0,498.0,978062.0,17988.0,68023.0,139928156.0,721.0,7320974.0,1994396.0,0.0,25436929.0,0.0,1767588.0
report_2025-07-14_18-17-06.yaml,Base Persistence,120.0,51353.0,1310693.0,4973698.0,5786.0,780.0,9915487.0,0.0,1116549.0,46172.0,44585947.0,53394403.0,17588.0,672.0,1233030.0,23026.0,99905.0,188347121.0,1365.0,10243865.0,3859133.0,0.0,32347757.0,0.0,2514724.0
report_2025-07-14_18-17-06.yaml,Base Persistence,150.0,66690.0,1656568.0,6016275.0,6672.0,930.0,12784666.0,0.0,1318503.0,55140.0,58384185.0,65380936.0,20797.0,912.0,1535172.0,29050.0,130444.0,240327033.0,1431.0,13212359.0,3891552.0,0.0,39774612.0,0.0,3130122.0
report_2025-07-14_18-17-06.yaml,Base Persistence,180.0,82041.0,2076644.0,7278669.0,7638.0,1212.0,15288185.0,0.0,1563810.0,65828.0,68945961.0,76500310.0,23108.0,1128.0,1859888.0,34726.0,149247.0,267069683.0,2033.0,14906403.0,5764520.0,0.0,45451278.0,0.0,3876576.0
report_2025-07-14_18-17-06.yaml,Base Persistence,210.0,95661.0,2438616.0,8739650.0,8333.0,1344.0,18975676.0,0.0,1829999.0,76347.0,81178280.0,90815732.0,25934.0,1302.0,2195366.0,40376.0,173168.0,333005633.0,2165.0,17846758.0,6188597.0,0.0,53661092.0,0.0,4379800.0
report_2025-07-14_18-17-06.yaml,Base Persistence,240.0,106612.0,2629727.0,10095796.0,9322.0,1560.0,20586311.0,0.0,2056822.0,89968.0,94779563.0,105747151.0,28694.0,1518.0,2593137.0,45480.0,200643.0,361906207.0,2743.0,20874160.0,7694761.0,0.0,63564234.0,0.0,5040936.0
report_2025-07-14_18-17-06.yaml,Base Persistence,270.0,118904.0,3041736.0,10820194.0,10076.0,1776.0,23424850.0,0.0,2392541.0,102196.0,105487356.0,119319993.0,31837.0,1692.0,2811180.0,51768.0,230918.0,424075476.0,2809.0,23524822.0,8404730.0,0.0,68245913.0,0.0,5836453.0
