report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,otel-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,valkey-cart_system-under-evaluation
report_2025-07-16_22-01-34.yaml,Base Persistence,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,30.0,16454.0,1806879.0,3596862.0,702.0,216.0,75228.0,70.0,836189.0,11026.0,19634510.0,37572100.0,2854.0,216.0,2778691.0,4372.0,30874.0,17374907.0,244.0,16986688.0,42430.0,0.0,3314749.0,0.0,437025.0
report_2025-07-16_22-01-34.yaml,Base Persistence,60.0,23181.0,4061254.0,8948795.0,3822.0,498.0,148242.0,70.0,1443102.0,42467.0,45766881.0,71716557.0,7726.0,414.0,6122734.0,11762.0,82702.0,55130155.0,7947.0,31677692.0,114287.0,0.0,6815621.0,0.0,954788.0
report_2025-07-16_22-01-34.yaml,Base Persistence,90.0,48509.0,6104298.0,14932674.0,4284.0,676.0,219190.0,70.0,2228643.0,60625.0,74906152.0,104705748.0,11206.0,630.0,8631584.0,20705.0,113119.0,71560403.0,8121.0,43726258.0,131444.0,0.0,9332409.0,0.0,1293069.0
report_2025-07-16_22-01-34.yaml,Base Persistence,120.0,74034.0,8667438.0,20772594.0,8475.0,892.0,293979.0,70.0,2934091.0,66873.0,111256257.0,133109619.0,18440.0,804.0,10567341.0,28862.0,151109.0,107192393.0,15758.0,69976523.0,199044.0,0.0,12546299.0,0.0,1861952.0
report_2025-07-16_22-01-34.yaml,Base Persistence,150.0,86340.0,10724050.0,27932476.0,9243.0,1108.0,360790.0,70.0,3774057.0,111070.0,127792607.0,164516305.0,24074.0,978.0,12375907.0,36134.0,197997.0,131180721.0,15890.0,81894028.0,213630.0,0.0,15494771.0,0.0,2238241.0
report_2025-07-16_22-01-34.yaml,Base Persistence,180.0,106798.0,13625371.0,32712873.0,13094.0,1348.0,422063.0,70.0,4492671.0,143743.0,158963409.0,200279845.0,28316.0,1152.0,14157606.0,42540.0,247826.0,152859400.0,23543.0,102120407.0,279823.0,0.0,18568601.0,0.0,2729482.0
report_2025-07-16_22-01-34.yaml,Base Persistence,210.0,119760.0,15035451.0,38313294.0,13796.0,1564.0,486023.0,70.0,5379938.0,159575.0,193169559.0,229409584.0,31322.0,1218.0,18277597.0,50246.0,278993.0,185039482.0,23741.0,119826640.0,293922.0,0.0,21271159.0,0.0,3095261.0
report_2025-07-16_22-01-34.yaml,Base Persistence,240.0,137980.0,17940528.0,43690256.0,17449.0,1714.0,589822.0,70.0,5802046.0,194070.0,217204880.0,263058328.0,36194.0,1500.0,20626571.0,56654.0,313920.0,212994307.0,31403.0,139569225.0,364262.0,0.0,24579888.0,0.0,3603409.0
report_2025-07-16_22-01-34.yaml,Base Persistence,270.0,152524.0,19384773.0,48203541.0,18085.0,1954.0,670527.0,70.0,6757048.0,206279.0,246365187.0,278913533.0,41066.0,1650.0,23657494.0,61602.0,349447.0,224814360.0,31601.0,158471689.0,378353.0,0.0,27423001.0,0.0,4186691.0
report_2025-07-16_22-01-34.yaml,Base Persistence,300.0,173638.0,21148692.0,52427538.0,21738.0,2170.0,741644.0,70.0,7461165.0,241457.0,262834478.0,328096461.0,44546.0,1782.0,26663639.0,69137.0,398187.0,251140055.0,39280.0,178951597.0,412171.0,0.0,28901546.0,0.0,4439402.0
report_2025-07-16_22-01-34.yaml,Base Persistence,330.0,187854.0,23688746.0,59173754.0,22200.0,2386.0,817550.0,70.0,7959745.0,249284.0,292117985.0,360255233.0,49418.0,1932.0,30005252.0,78041.0,420655.0,282213196.0,39520.0,195944882.0,454817.0,0.0,31943652.0,0.0,5062178.0
report_2025-07-16_22-01-34.yaml,Base Persistence,360.0,211768.0,26458227.0,64041747.0,26027.0,2452.0,895483.0,70.0,9095084.0,288037.0,327360484.0,389769681.0,52898.0,2214.0,32010558.0,84877.0,479899.0,313283247.0,47157.0,215075699.0,526501.0,0.0,35505468.0,0.0,5513449.0
report_2025-07-16_22-01-34.yaml,Base Persistence,390.0,219434.0,28350981.0,69616886.0,26489.0,2734.0,955991.0,70.0,9329700.0,295006.0,349708204.0,407511829.0,57074.0,2346.0,34514911.0,92150.0,511287.0,341423827.0,47223.0,225566062.0,538154.0,0.0,38131562.0,0.0,5999353.0
report_2025-07-16_22-01-34.yaml,Base Persistence,420.0,244399.0,30541398.0,76814969.0,30316.0,2800.0,1026238.0,70.0,10186386.0,330778.0,375664120.0,442879591.0,61946.0,2562.0,37809528.0,98492.0,550349.0,356264246.0,54968.0,248725133.0,612532.0,0.0,41359624.0,70.0,6453522.0
report_2025-07-16_22-01-34.yaml,Base Persistence,450.0,258451.0,32844624.0,82436657.0,30910.0,3016.0,1102629.0,70.0,10921483.0,343797.0,418567142.0,474678640.0,66818.0,2806.0,40180499.0,106337.0,586933.0,396996033.0,55100.0,258851001.0,628769.0,70.0,44250797.0,70.0,6920888.0
report_2025-07-16_22-01-34.yaml,Base Persistence,480.0,276454.0,35050296.0,86028600.0,34675.0,3232.0,1163464.0,70.0,11973754.0,354498.0,431687250.0,509785607.0,68906.0,3022.0,42960234.0,113307.0,633259.0,409916133.0,62779.0,286278531.0,695464.0,70.0,46848387.0,70.0,7208548.0
report_2025-07-16_22-01-34.yaml,Base Persistence,510.0,290998.0,36346525.0,93045379.0,35335.0,3514.0,1254457.0,70.0,12647933.0,395373.0,464258490.0,537751079.0,73778.0,3154.0,45309509.0,118886.0,667419.0,448070673.0,62953.0,302282413.0,707679.0,70.0,49324775.0,70.0,7533427.0
report_2025-07-16_22-01-34.yaml,Base Persistence,540.0,311075.0,39558793.0,97426392.0,38964.0,3646.0,1321246.0,70.0,13309559.0,431074.0,496778938.0,567598377.0,78650.0,3328.0,47483214.0,126923.0,712924.0,473872497.0,70726.0,322668612.0,778930.0,70.0,52617119.0,70.0,8117683.0
