report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,kafka_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,valkey-cart_system-under-evaluation
report_2025-07-07_18-08-43.yaml,Baseline,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
report_2025-07-07_18-08-43.yaml,Baseline,30.0,0.0,180224.0,0.0,,,0.0,0.0,204800.0,0.0,0.0,0.0,0.0,651264.0,135483392.0,,0.0,0.0,8593408.0,,0.0,0.0
report_2025-07-07_18-08-43.yaml,Baseline,60.0,0.0,327680.0,0.0,,,0.0,0.0,385024.0,0.0,0.0,0.0,0.0,1466368.0,223490048.0,,0.0,0.0,17596416.0,,0.0,8192.0
report_2025-07-07_18-08-43.yaml,Baseline,90.0,0.0,548864.0,0.0,,,0.0,0.0,548864.0,0.0,0.0,0.0,0.0,2187264.0,345436160.0,,0.0,0.0,25640960.0,,0.0,8192.0
report_2025-07-07_18-08-43.yaml,Baseline,120.0,0.0,729088.0,0.0,,,0.0,0.0,712704.0,0.0,0.0,0.0,0.0,2965504.0,496689152.0,,0.0,0.0,33693696.0,,0.0,8192.0
report_2025-07-07_18-08-43.yaml,Baseline,150.0,0.0,876544.0,0.0,,,0.0,0.0,974848.0,0.0,0.0,114688.0,0.0,3944448.0,545046528.0,,0.0,0.0,42205184.0,,0.0,16384.0
report_2025-07-07_18-08-43.yaml,Baseline,180.0,0.0,1073152.0,0.0,,,0.0,0.0,1114112.0,0.0,0.0,114688.0,0.0,4861952.0,694796288.0,,0.0,0.0,51003392.0,,0.0,16384.0
report_2025-07-07_18-08-43.yaml,Baseline,210.0,0.0,1265664.0,0.0,,,0.0,0.0,1302528.0,0.0,0.0,114688.0,0.0,5820416.0,822497280.0,,0.0,0.0,84901888.0,,0.0,16384.0
report_2025-07-07_18-08-43.yaml,Baseline,240.0,0.0,1454080.0,0.0,,,0.0,0.0,1429504.0,0.0,0.0,114688.0,0.0,6774784.0,957227008.0,,0.0,0.0,95363072.0,,0.0,20480.0
report_2025-07-07_18-08-43.yaml,Baseline,270.0,0.0,1662976.0,0.0,,,0.0,0.0,1642496.0,0.0,0.0,114688.0,0.0,7757824.0,1033846784.0,,0.0,0.0,103129088.0,,0.0,24576.0
report_2025-07-07_18-08-43.yaml,Baseline,300.0,0.0,1859584.0,0.0,,,0.0,0.0,1810432.0,0.0,0.0,114688.0,0.0,8626176.0,1663873024.0,,0.0,0.0,113025024.0,,0.0,24576.0
report_2025-07-07_18-08-43.yaml,Baseline,330.0,0.0,2023424.0,0.0,,,0.0,0.0,1941504.0,0.0,0.0,114688.0,0.0,9302016.0,1884225536.0,,0.0,0.0,117579776.0,,0.0,24576.0
