report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,kafka_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,prometheus_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,valkey-cart_system-under-evaluation
report_2025-07-16_22-01-34.yaml,Base Persistence,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,30.0,0.0,196608.0,,24059904.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,737280.0,106295296.0,,0.0,655360.0,,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,60.0,0.0,344064.0,,44670976.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,1519616.0,177840128.0,,0.0,1863680.0,,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,90.0,0.0,573440.0,,63537152.0,0.0,0.0,98304.0,0.0,0.0,0.0,0.0,2138112.0,258510848.0,,0.0,2240512.0,,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,120.0,0.0,753664.0,,75964416.0,0.0,0.0,131072.0,0.0,0.0,114688.0,0.0,2732032.0,315404288.0,,0.0,2519040.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,150.0,0.0,933888.0,,87724032.0,0.0,0.0,163840.0,0.0,0.0,114688.0,0.0,3473408.0,409784320.0,,0.0,3731456.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,180.0,0.0,1130496.0,,110800896.0,0.0,0.0,196608.0,0.0,0.0,114688.0,0.0,4079616.0,466063360.0,,0.0,4476928.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,210.0,0.0,1343488.0,,126550016.0,0.0,0.0,229376.0,0.0,0.0,114688.0,0.0,4882432.0,566476800.0,,0.0,5206016.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,240.0,0.0,1515520.0,,146739200.0,0.0,0.0,262144.0,0.0,0.0,114688.0,0.0,5439488.0,619589632.0,,0.0,5967872.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,270.0,0.0,1712128.0,,170971136.0,0.0,0.0,294912.0,0.0,0.0,114688.0,0.0,6389760.0,708337664.0,,0.0,6696960.0,,0.0,8192.0
report_2025-07-16_22-01-34.yaml,Base Persistence,300.0,0.0,1875968.0,,189964288.0,0.0,0.0,327680.0,0.0,0.0,114688.0,0.0,6918144.0,763109376.0,,0.0,7475200.0,,0.0,16384.0
report_2025-07-16_22-01-34.yaml,Base Persistence,330.0,0.0,2129920.0,,211484672.0,0.0,0.0,360448.0,0.0,0.0,114688.0,0.0,7725056.0,821063680.0,,0.0,8187904.0,,0.0,16384.0
report_2025-07-16_22-01-34.yaml,Base Persistence,360.0,0.0,2269184.0,,227811328.0,0.0,0.0,360448.0,0.0,0.0,114688.0,0.0,8482816.0,910082048.0,,0.0,8245248.0,,0.0,16384.0
report_2025-07-16_22-01-34.yaml,Base Persistence,390.0,0.0,2465792.0,,276447232.0,0.0,0.0,393216.0,0.0,0.0,114688.0,0.0,9187328.0,971251712.0,,0.0,9670656.0,,0.0,16384.0
report_2025-07-16_22-01-34.yaml,Base Persistence,420.0,0.0,2605056.0,,294449152.0,0.0,0.0,442368.0,0.0,0.0,262144.0,0.0,9867264.0,1054511104.0,,0.0,9785344.0,,0.0,16384.0
report_2025-07-16_22-01-34.yaml,Base Persistence,450.0,0.0,2801664.0,,325283840.0,0.0,0.0,458752.0,0.0,0.0,262144.0,0.0,10608640.0,1113235456.0,,0.0,11202560.0,,0.0,24576.0
report_2025-07-16_22-01-34.yaml,Base Persistence,480.0,0.0,2949120.0,,336576512.0,0.0,0.0,507904.0,0.0,0.0,262144.0,0.0,11288576.0,1214357504.0,,0.0,12075008.0,,0.0,24576.0
report_2025-07-16_22-01-34.yaml,Base Persistence,510.0,0.0,3190784.0,,350801920.0,0.0,0.0,557056.0,0.0,0.0,262144.0,0.0,12251136.0,1269878784.0,,0.0,12791808.0,,0.0,24576.0
report_2025-07-16_22-01-34.yaml,Base Persistence,540.0,0.0,3407872.0,,370708480.0,0.0,0.0,573440.0,0.0,0.0,262144.0,0.0,13332480.0,1368244224.0,,0.0,14241792.0,,0.0,24576.0
report_2025-07-16_22-01-34.yaml,Base Persistence,570.0,0.0,3534848.0,,387055616.0,0.0,0.0,606208.0,0.0,0.0,262144.0,0.0,13983744.0,1407053824.0,,0.0,14282752.0,,0.0,24576.0
