Time;Zeit;Pi (Kepler);Pi (CPU);All (Kepler);All (CPU)
11.11.2024 21:34;0;232;130;232;111
11.11.2024 21:34;30;232;126;231;125
11.11.2024 21:35;60;232;215;235;174
11.11.2024 21:35;90;261;519;290;447
11.11.2024 21:36;120;263;531;284;476
11.11.2024 21:36;150;263;367;284;471
11.11.2024 21:37;180;263;378;284;472
11.11.2024 21:37;210;263;560;284;479
11.11.2024 21:38;240;263;542;284;473
11.11.2024 21:38;270;263;559;284;471
11.11.2024 21:39;300;263;554;284;472
11.11.2024 21:39;330;264;538;284;469
11.11.2024 21:40;360;263;516;282;418
11.11.2024 21:40;390;235;178;232;144
11.11.2024 21:41;420;234;151;245;124
11.11.2024 21:41;450;234;146;243;116
11.11.2024 21:42;480;234;154;244;117
11.11.2024 21:42;510;234;162;244;121
11.11.2024 21:43;540;235;163;244;124
11.11.2024 21:43;570;234;146;244;111
11.11.2024 21:44;600;234;163;243;106
11.11.2024 21:44;630;234;160;243;128
11.11.2024 21:45;660;234;162;244;130
11.11.2024 21:45;690;235;153;243;127
11.11.2024 21:46;720;232;138;232;126
11.11.2024 21:46;750;237;203;252;154
11.11.2024 21:47;780;238;203;252;153
11.11.2024 21:47;810;238;198;253;150
11.11.2024 21:48;840;237;194;252;153
11.11.2024 21:48;870;237;207;253;150
11.11.2024 21:49;900;238;216;253;151
11.11.2024 21:49;930;237;209;253;148
11.11.2024 21:50;960;237;200;253;143
11.11.2024 21:50;990;238;197;252;145
11.11.2024 21:51;1020;238;187;252;140
11.11.2024 21:51;1050;232;148;233;157
11.11.2024 21:52;1080;246;253;268;227
11.11.2024 21:52;1110;248;259;269;221
11.11.2024 21:53;1140;247;265;270;220
11.11.2024 21:53;1170;247;263;270;224
11.11.2024 21:54;1200;247;269;270;219
11.11.2024 21:54;1230;245;269;269;214
11.11.2024 21:55;1260;249;262;269;221
11.11.2024 21:55;1290;248;172;270;221
11.11.2024 21:56;1320;247;168;269;226
11.11.2024 21:56;1350;247;261;270;194
11.11.2024 21:57;1380;234;158;232;165
11.11.2024 21:57;1410;255;302;282;201
11.11.2024 21:58;1440;262;328;283;220
11.11.2024 21:58;1470;264;335;282;309
11.11.2024 21:59;1500;263;336;282;306
11.11.2024 21:59;1530;264;333;282;305
11.11.2024 22:00;1560;263;333;283;303
11.11.2024 22:00;1590;266;333;283;303
11.11.2024 22:01;1620;266;327;283;296
11.11.2024 22:01;1650;261;334;283;307
11.11.2024 22:02;1680;264;324;283;288
11.11.2024 22:02;1710;237;163;233;176
11.11.2024 22:03;1740;253;406;288;360
11.11.2024 22:03;1770;257;475;284;397
11.11.2024 22:04;1800;256;474;284;388
11.11.2024 22:04;1830;256;470;284;390
11.11.2024 22:05;1860;257;475;284;392
11.11.2024 22:05;1890;256;472;284;385
11.11.2024 22:06;1920;257;476;284;388
11.11.2024 22:06;1950;256;455;284;393
11.11.2024 22:07;1980;256;458;284;383
11.11.2024 22:07;2010;256;415;284;358
11.11.2024 22:08;2040;235;175;233;196
11.11.2024 22:08;2070;260;533;290;436
11.11.2024 22:09;2100;264;543;284;465
11.11.2024 22:09;2130;263;542;284;471
11.11.2024 22:10;2160;264;549;284;476
11.11.2024 22:10;2190;263;553;282;475
11.11.2024 22:11;2220;263;568;284;473
11.11.2024 22:11;2250;263;566;284;475
11.11.2024 22:12;2280;263;568;284;481
11.11.2024 22:12;2310;263;570;284;472
11.11.2024 22:13;2340;264;453;284;406
11.11.2024 22:13;2370;235;240;232;198
11.11.2024 22:14;2400;265;632;291;549
11.11.2024 22:14;2430;269;627;284;563
11.11.2024 22:15;2460;269;424;284;556
11.11.2024 22:15;2490;269;425;284;562
11.11.2024 22:16;2520;269;626;284;561
11.11.2024 22:16;2550;269;614;284;558
11.11.2024 22:17;2580;269;604;284;554
11.11.2024 22:17;2610;269;610;284;559
11.11.2024 22:18;2640;270;626;284;564
11.11.2024 22:18;2670;270;588;284;454
11.11.2024 22:19;2700;236;209;233;265
11.11.2024 22:19;2730;282;583;292;643
11.11.2024 22:20;2760;284;640;284;644
11.11.2024 22:20;2790;284;646;284;642
11.11.2024 22:21;2820;284;649;284;648
11.11.2024 22:21;2850;284;648;284;645
11.11.2024 22:22;2880;284;647;284;639
11.11.2024 22:22;2910;284;644;284;649
11.11.2024 22:23;2940;284;646;284;649
11.11.2024 22:23;2970;284;648;284;644
11.11.2024 22:24;3000;284;624;284;484
11.11.2024 22:24;3030;238;195;233;291
11.11.2024 22:25;3060;285;629;293;729
11.11.2024 22:25;3090;284;710;284;735
11.11.2024 22:26;3120;284;707;284;730
11.11.2024 22:26;3150;284;709;284;728
11.11.2024 22:27;3180;284;709;284;726
11.11.2024 22:27;3210;284;708;284;732
11.11.2024 22:28;3240;284;711;284;482
11.11.2024 22:28;3270;284;712;284;488
11.11.2024 22:29;3300;284;712;284;732
11.11.2024 22:29;3330;284;637;284;657
11.11.2024 22:30;3360;238;208;233;273
11.11.2024 22:30;3390;285;704;295;736
11.11.2024 22:31;3420;284;731;288;810
11.11.2024 22:31;3450;284;733;288;817
11.11.2024 22:32;3480;284;735;288;809
11.11.2024 22:32;3510;284;741;288;816
11.11.2024 22:33;3540;284;738;288;815
11.11.2024 22:33;3570;284;731;288;808
11.11.2024 22:34;3600;284;742;288;818
11.11.2024 22:34;3630;284;737;288;813
11.11.2024 22:35;3660;284;612;288;735
11.11.2024 22:35;3690;238;269;234;275
11.11.2024 22:36;3720;287;894;294;831
11.11.2024 22:36;3750;284;890;284;901
11.11.2024 22:37;3780;284;892;284;897
11.11.2024 22:37;3810;284;885;284;896
11.11.2024 22:38;3840;284;887;284;898
11.11.2024 22:38;3870;284;894;284;894
11.11.2024 22:39;3900;284;897;284;897
11.11.2024 22:39;3930;284;889;284;901
11.11.2024 22:40;3960;284;892;284;901
11.11.2024 22:40;3990;284;719;284;783
11.11.2024 22:41;4020;238;122;233;164
11.11.2024 22:41;4050;232;118;233;111
