report,label,time_normalized_rounded,prometheus_scrape_amount
report_2025-07-16_22-01-34.yaml,Base Persistence,-0.0,0
report_2025-07-16_22-01-34.yaml,Base Persistence,30.0,141831
report_2025-07-16_22-01-34.yaml,Base Persistence,60.0,141831
report_2025-07-16_22-01-34.yaml,Base Persistence,90.0,283662
report_2025-07-16_22-01-34.yaml,Base Persistence,120.0,283662
report_2025-07-16_22-01-34.yaml,Base Persistence,150.0,425511
report_2025-07-16_22-01-34.yaml,Base Persistence,180.0,425511
report_2025-07-16_22-01-34.yaml,Base Persistence,210.0,567401
report_2025-07-16_22-01-34.yaml,Base Persistence,240.0,567401
report_2025-07-16_22-01-34.yaml,Base Persistence,270.0,709289
report_2025-07-16_22-01-34.yaml,Base Persistence,300.0,709289
report_2025-07-16_22-01-34.yaml,Base Persistence,330.0,851177
report_2025-07-16_22-01-34.yaml,Base Persistence,360.0,851177
report_2025-07-16_22-01-34.yaml,Base Persistence,390.0,993065
report_2025-07-16_22-01-34.yaml,Base Persistence,420.0,993065
report_2025-07-16_22-01-34.yaml,Base Persistence,450.0,1134953
report_2025-07-16_22-01-34.yaml,Base Persistence,480.0,1134953
report_2025-07-16_22-01-34.yaml,Base Persistence,510.0,1276841
report_2025-07-16_22-01-34.yaml,Base Persistence,540.0,1276841
report_2025-07-16_22-01-34.yaml,Base Persistence,570.0,1418729
report_2025-07-16_22-01-34.yaml,Base Persistence,600.0,1418729
report_2025-07-16_22-01-34.yaml,Base Persistence,630.0,1560617
report_2025-07-16_22-01-34.yaml,Base Persistence,660.0,1560617
report_2025-07-16_22-01-34.yaml,Base Persistence,690.0,1702505
report_2025-07-16_22-01-34.yaml,Base Persistence,720.0,1702505
report_2025-07-16_22-01-34.yaml,Base Persistence,750.0,1844393
report_2025-07-16_22-01-34.yaml,Base Persistence,780.0,1844393
report_2025-07-16_22-01-34.yaml,Base Persistence,810.0,1986281
report_2025-07-16_22-01-34.yaml,Base Persistence,840.0,1986281
report_2025-07-16_22-01-34.yaml,Base Persistence,870.0,2128169
report_2025-07-16_22-01-34.yaml,Base Persistence,900.0,2128169
report_2025-07-16_22-01-34.yaml,Base Persistence,930.0,2270057
report_2025-07-16_22-01-34.yaml,Base Persistence,960.0,2270057
report_2025-07-16_22-01-34.yaml,Base Persistence,990.0,2411945
report_2025-07-16_22-01-34.yaml,Base Persistence,1020.0,2411945
report_2025-07-16_22-01-34.yaml,Base Persistence,1050.0,2553833
report_2025-07-16_22-01-34.yaml,Base Persistence,1080.0,2553833
report_2025-07-16_22-01-34.yaml,Base Persistence,1110.0,2695721
report_2025-07-16_22-01-34.yaml,Base Persistence,1140.0,2695721
report_2025-07-16_22-01-34.yaml,Base Persistence,1170.0,2837609
report_2025-07-16_22-01-34.yaml,Base Persistence,1200.0,2837609
